note,Alban Berg,Alexander Scriabin,Anton Arensky,Antonio Soler,Carl Maria von Weber,Charles Gounod / Franz Liszt,Claude Debussy,César Franck,Domenico Scarlatti,Edvard Grieg,Felix Mendelssohn,Felix Mendelssohn / Sergei Rachmaninoff,Franz Liszt,Franz Liszt / Camille Saint-Saëns,Franz Liszt / Vladimir Horowitz,Franz Schubert,Franz Schubert / Franz Liszt,Franz Schubert / Leopold Godowsky,Fritz Kreisler / Sergei Rachmaninoff,Frédéric Chopin,George Enescu,George Frideric Handel,Georges Bizet / Ferruccio Busoni,Georges Bizet / Moritz Moszkowski,Georges Bizet / Vladimir Horowitz,Giuseppe Verdi / Franz Liszt,Henry Purcell,Isaac Albéniz,Isaac Albéniz / Leopold Godowsky,Jean-Philippe Rameau,Johann Christian Fischer / Wolfgang Amadeus Mozart,Johann Pachelbel,Johann Sebastian Bach,Johann Sebastian Bach / Egon Petri,Johann Sebastian Bach / Ferruccio Busoni,Johann Sebastian Bach / Franz Liszt,Johann Sebastian Bach / Myra Hess,Johann Strauss / Alfred Grünfeld,Johannes Brahms,Joseph Haydn,Leoš Janáček,Ludwig van Beethoven,Mikhail Glinka / Mily Balakirev,Mily Balakirev,Modest Mussorgsky,Muzio Clementi,Niccolò Paganini / Franz Liszt,Nikolai Medtner,Nikolai Rimsky-Korsakov / Sergei Rachmaninoff,Orlando Gibbons,Percy Grainger,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,Richard Wagner / Franz Liszt,Robert Schumann,Robert Schumann / Franz Liszt,Sergei Rachmaninoff,Sergei Rachmaninoff / György Cziffra,Sergei Rachmaninoff / Vyacheslav Gryaznov,Wolfgang Amadeus Mozart,All
A5,75.0,1258,382.0,137.0,242.0,186.0,2120,148.0,1597.0,23.0,713.0,200.0,10147,179.0,261,7995.0,197.0,15.0,170.0,4863.0,433.0,305.0,155.0,130.0,108.0,62.0,89.0,383.0,19.0,25.0,169.0,1.0,2647.0,76.0,991.0,87.0,7.0,25.0,5408.0,2640.0,206.0,9099.0,15.0,444.0,452.0,911.0,169.0,383.0,43.0,3.0,60.0,275.0,834.0,18.0,144.0,4014.0,9.0,2299,56.0,42.0,4854.0,68998.0
A6,6.0,175,193.0,,30.0,192.0,454,6.0,,4.0,62.0,13.0,5289,169.0,133,1396.0,46.0,,56.0,1344.0,107.0,,24.0,19.0,29.0,56.0,,58.0,6.0,,,,4.0,,87.0,16.0,,17.0,1474.0,6.0,16.0,851.0,52.0,161.0,50.0,1.0,61.0,68.0,11.0,,28.0,23.0,202.0,6.0,22.0,572.0,1.0,440,18.0,5.0,2.0,14061.0
B1,16.0,922,49.0,31.0,54.0,16.0,514,290.0,23.0,3.0,130.0,13.0,2480,32.0,46,1691.0,48.0,1.0,11.0,2143.0,54.0,3.0,28.0,18.0,25.0,13.0,,25.0,6.0,3.0,,,82.0,,104.0,76.0,16.0,,1142.0,95.0,21.0,2990.0,,16.0,264.0,18.0,37.0,153.0,1.0,,1.0,13.0,324.0,6.0,116.0,938.0,5.0,506,,1.0,81.0,15694.0
B2,49.0,1711,123.0,83.0,242.0,28.0,1054,601.0,248.0,85.0,522.0,24.0,5550,57.0,78,6133.0,193.0,14.0,23.0,5488.0,158.0,140.0,62.0,228.0,106.0,21.0,14.0,121.0,21.0,20.0,88.0,,3603.0,8.0,206.0,96.0,25.0,6.0,2909.0,624.0,166.0,7373.0,,183.0,361.0,113.0,62.0,519.0,2.0,2.0,6.0,117.0,559.0,14.0,100.0,3323.0,20.0,1865,7.0,7.0,751.0,46312.0
B3,129.0,4017,231.0,58.0,513.0,96.0,4149,1146.0,1060.0,115.0,1274.0,196.0,9980,93.0,167,13289.0,644.0,51.0,96.0,11358.0,453.0,300.0,99.0,291.0,116.0,69.0,60.0,559.0,17.0,72.0,190.0,,6345.0,24.0,326.0,173.0,48.0,72.0,4911.0,2231.0,396.0,12749.0,11.0,558.0,455.0,342.0,138.0,765.0,19.0,12.0,26.0,221.0,1432.0,202.0,329.0,8569.0,47.0,4381,22.0,31.0,2479.0,98202.0
B4,132.0,3946,267.0,233.0,403.0,119.0,4500,1162.0,2148.0,111.0,1289.0,134.0,10766,48.0,231,11935.0,336.0,71.0,108.0,11002.0,425.0,424.0,120.0,266.0,152.0,52.0,162.0,644.0,54.0,51.0,236.0,,8547.0,26.0,366.0,193.0,131.0,53.0,5353.0,3062.0,205.0,12460.0,9.0,507.0,652.0,644.0,117.0,746.0,14.0,4.0,31.0,219.0,1864.0,174.0,232.0,7631.0,2.0,4118,50.0,32.0,3521.0,102490.0
B5,53.0,1586,149.0,89.0,230.0,108.0,2174,237.0,526.0,28.0,377.0,22.0,9080,70.0,198,5534.0,102.0,4.0,96.0,4244.0,233.0,38.0,125.0,135.0,141.0,70.0,16.0,291.0,11.0,16.0,56.0,,895.0,8.0,155.0,57.0,1.0,72.0,3310.0,1550.0,108.0,7617.0,6.0,321.0,323.0,260.0,107.0,273.0,22.0,,34.0,94.0,911.0,47.0,251.0,2364.0,,1838,35.0,41.0,1778.0,48517.0
B6,3.0,163,197.0,,9.0,101.0,455,18.0,,4.0,16.0,3.0,4591,53.0,104,472.0,14.0,,19.0,977.0,53.0,,24.0,26.0,31.0,37.0,,27.0,2.0,,,,6.0,,4.0,10.0,,41.0,610.0,,2.0,306.0,4.0,93.0,26.0,,26.0,42.0,8.0,,16.0,20.0,200.0,11.0,39.0,204.0,,249,13.0,12.0,2.0,9343.0
C#2,9.0,1145,26.0,34.0,17.0,18.0,948,189.0,65.0,,146.0,30.0,3977,45.0,172,2272.0,89.0,3.0,18.0,3114.0,43.0,5.0,61.0,1.0,6.0,72.0,,100.0,4.0,2.0,,,172.0,,144.0,81.0,4.0,32.0,1262.0,64.0,40.0,2701.0,10.0,429.0,211.0,78.0,19.0,139.0,2.0,,3.0,31.0,213.0,,43.0,1837.0,14.0,1064,1.0,1.0,80.0,21286.0
C#3,54.0,2384,110.0,36.0,83.0,56.0,1726,368.0,285.0,11.0,762.0,37.0,6741,43.0,279,7755.0,206.0,111.0,32.0,7194.0,133.0,66.0,142.0,68.0,14.0,82.0,,294.0,25.0,30.0,3.0,26.0,3610.0,4.0,327.0,128.0,4.0,42.0,2634.0,433.0,969.0,5762.0,23.0,772.0,341.0,209.0,26.0,372.0,2.0,,38.0,193.0,114.0,13.0,108.0,5615.0,43.0,2158,7.0,8.0,530.0,53641.0
C#4,126.0,4026,259.0,44.0,156.0,207.0,6175,893.0,1255.0,68.0,1257.0,185.0,13470,83.0,412,12688.0,650.0,92.0,136.0,13493.0,363.0,165.0,210.0,63.0,58.0,241.0,,805.0,32.0,79.0,16.0,6.0,4904.0,4.0,603.0,230.0,1.0,204.0,4083.0,1625.0,635.0,8626.0,110.0,1086.0,525.0,481.0,42.0,631.0,35.0,6.0,94.0,226.0,289.0,131.0,198.0,10942.0,106.0,4781,54.0,24.0,2018.0,100407.0
C#5,79.0,3575,220.0,175.0,148.0,147.0,5117,714.0,1767.0,81.0,1136.0,226.0,11886,79.0,586,10858.0,351.0,104.0,131.0,12018.0,408.0,237.0,181.0,117.0,65.0,121.0,,781.0,52.0,88.0,28.0,2.0,6129.0,4.0,752.0,206.0,1.0,138.0,4391.0,1974.0,491.0,8757.0,73.0,797.0,926.0,635.0,38.0,452.0,31.0,,73.0,186.0,298.0,77.0,170.0,8785.0,52.0,4229,90.0,39.0,2703.0,93975.0
C#6,56.0,1144,123.0,42.0,46.0,126.0,2439,148.0,208.0,,227.0,20.0,10452,83.0,608,3733.0,145.0,,54.0,3921.0,191.0,,71.0,41.0,62.0,142.0,,336.0,13.0,,1.0,,50.0,,172.0,105.0,,198.0,2440.0,420.0,276.0,4397.0,39.0,496.0,212.0,201.0,54.0,131.0,22.0,,46.0,68.0,256.0,20.0,163.0,2592.0,27.0,1300,41.0,17.0,714.0,38889.0
C2,9.0,430,46.0,1.0,147.0,28.0,651,73.0,139.0,1.0,130.0,67.0,2406,28.0,44,2832.0,86.0,,39.0,1985.0,16.0,28.0,23.0,3.0,33.0,8.0,13.0,53.0,2.0,1.0,24.0,,349.0,8.0,185.0,157.0,15.0,6.0,2021.0,456.0,6.0,5748.0,2.0,43.0,166.0,150.0,32.0,219.0,2.0,,7.0,82.0,282.0,,27.0,1797.0,4.0,824,,2.0,418.0,22354.0
C3,56.0,853,201.0,14.0,450.0,32.0,1134,156.0,356.0,33.0,483.0,113.0,4505,98.0,115,9492.0,204.0,9.0,81.0,6416.0,59.0,398.0,44.0,108.0,68.0,20.0,68.0,150.0,5.0,15.0,220.0,24.0,4355.0,179.0,305.0,180.0,23.0,26.0,3966.0,1677.0,40.0,12455.0,7.0,174.0,313.0,423.0,66.0,635.0,8.0,32.0,39.0,359.0,516.0,3.0,93.0,5823.0,18.0,2388,21.0,13.0,2085.0,62202.0
C4,140.0,2087,464.0,10.0,663.0,106.0,4617,353.0,887.0,131.0,1256.0,597.0,9680,158.0,153,15994.0,1020.0,11.0,220.0,12611.0,139.0,528.0,107.0,101.0,76.0,98.0,97.0,774.0,9.0,19.0,386.0,32.0,7038.0,210.0,439.0,325.0,49.0,102.0,6390.0,4718.0,141.0,16436.0,43.0,698.0,473.0,743.0,156.0,1025.0,45.0,67.0,93.0,600.0,1126.0,58.0,102.0,12480.0,119.0,5484,60.0,48.0,5601.0,118393.0
C5,90.0,2347,322.0,57.0,468.0,86.0,3882,286.0,1817.0,31.0,884.0,555.0,9561,138.0,198,14352.0,453.0,1.0,231.0,11580.0,111.0,734.0,85.0,127.0,94.0,98.0,239.0,631.0,6.0,32.0,330.0,42.0,9779.0,222.0,492.0,270.0,85.0,102.0,6740.0,5211.0,163.0,15596.0,70.0,563.0,669.0,1067.0,111.0,847.0,30.0,32.0,101.0,532.0,1020.0,54.0,120.0,10304.0,102.0,4586,56.0,69.0,6272.0,115133.0
C6,41.0,812,120.0,10.0,177.0,74.0,1733,67.0,340.0,,183.0,115.0,7343,70.0,143,5660.0,144.0,,155.0,4934.0,66.0,31.0,75.0,56.0,60.0,118.0,12.0,324.0,2.0,8.0,95.0,2.0,584.0,115.0,211.0,88.0,2.0,95.0,3532.0,2296.0,80.0,8155.0,55.0,321.0,380.0,348.0,93.0,296.0,35.0,,67.0,287.0,555.0,15.0,69.0,2841.0,39.0,1544,37.0,52.0,2171.0,47333.0
C7,10.0,97,20.0,,9.0,45.0,567,4.0,,,6.0,8.0,2857,38.0,48,647.0,21.0,,39.0,1155.0,11.0,,9.0,15.0,15.0,88.0,,24.0,,,,,1.0,,1.0,5.0,,26.0,529.0,,6.0,290.0,70.0,62.0,26.0,2.0,25.0,72.0,8.0,,18.0,72.0,115.0,8.0,,288.0,4.0,164,9.0,7.0,1.0,7542.0
D#1,1.0,304,4.0,,2.0,,198,23.0,,,,,305,27.0,25,9.0,,,1.0,362.0,,,17.0,,5.0,5.0,,21.0,,,,,15.0,,34.0,19.0,,1.0,309.0,,7.0,56.0,,11.0,118.0,,,25.0,,,18.0,12.0,14.0,,,114.0,1.0,494,,2.0,,2559.0
D#2,15.0,946,39.0,11.0,32.0,13.0,900,108.0,19.0,1.0,74.0,58.0,4230,139.0,56,2035.0,38.0,,9.0,3755.0,18.0,4.0,48.0,7.0,12.0,38.0,,109.0,,,,,391.0,,95.0,54.0,1.0,13.0,1303.0,238.0,199.0,4322.0,6.0,93.0,636.0,131.0,10.0,201.0,,,38.0,194.0,70.0,16.0,100.0,1814.0,16.0,1420,10.0,22.0,265.0,24372.0
D#3,63.0,1866,115.0,19.0,181.0,37.0,1922,222.0,121.0,8.0,352.0,98.0,7051,166.0,100,8670.0,332.0,19.0,29.0,10915.0,115.0,67.0,55.0,38.0,32.0,82.0,,306.0,5.0,,3.0,27.0,3896.0,137.0,115.0,69.0,1.0,78.0,3008.0,1489.0,669.0,10764.0,24.0,309.0,585.0,213.0,32.0,472.0,13.0,27.0,76.0,596.0,185.0,154.0,188.0,6704.0,106.0,2561,5.0,30.0,1241.0,66763.0
D#4,118.0,3594,210.0,16.0,303.0,154.0,6073,710.0,407.0,33.0,731.0,450.0,12869,371.0,122,12596.0,444.0,23.0,60.0,15275.0,222.0,64.0,98.0,108.0,58.0,189.0,,723.0,10.0,,15.0,4.0,4893.0,78.0,246.0,132.0,,133.0,4397.0,2780.0,522.0,13817.0,72.0,770.0,1128.0,350.0,37.0,724.0,26.0,24.0,145.0,687.0,416.0,250.0,292.0,10903.0,159.0,5490,71.0,96.0,2574.0,107262.0
D#5,106.0,2942,115.0,29.0,214.0,122.0,4316,343.0,528.0,101.0,492.0,305.0,11098,200.0,196,9571.0,171.0,15.0,84.0,12614.0,170.0,79.0,88.0,115.0,84.0,97.0,,521.0,5.0,,34.0,4.0,5156.0,222.0,183.0,95.0,,159.0,4372.0,2952.0,332.0,11484.0,87.0,432.0,978.0,434.0,38.0,509.0,41.0,12.0,117.0,416.0,261.0,157.0,128.0,7070.0,89.0,4448,102.0,130.0,3166.0,88329.0
D#6,37.0,689,30.0,9.0,54.0,260.0,1743,53.0,22.0,12.0,85.0,38.0,9987,178.0,165,2397.0,80.0,,33.0,3601.0,87.0,,25.0,44.0,56.0,168.0,,212.0,,,1.0,,42.0,36.0,45.0,28.0,,127.0,1738.0,295.0,66.0,4146.0,67.0,252.0,313.0,119.0,39.0,233.0,26.0,,70.0,146.0,153.0,30.0,133.0,1590.0,27.0,1274,31.0,68.0,360.0,31520.0
D2,13.0,535,179.0,52.0,23.0,73.0,644,179.0,331.0,,402.0,149.0,3433,167.0,96,2613.0,116.0,2.0,25.0,1985.0,93.0,67.0,78.0,13.0,30.0,7.0,6.0,92.0,38.0,12.0,5.0,,706.0,4.0,620.0,81.0,35.0,1.0,1873.0,223.0,21.0,3902.0,2.0,123.0,251.0,159.0,34.0,294.0,4.0,12.0,3.0,129.0,309.0,,27.0,2090.0,4.0,1193,1.0,,363.0,23922.0
D3,57.0,1310,427.0,43.0,198.0,100.0,1294,378.0,965.0,23.0,1374.0,271.0,6021,201.0,157,10332.0,420.0,28.0,67.0,6122.0,227.0,671.0,106.0,70.0,79.0,9.0,53.0,324.0,18.0,69.0,132.0,1.0,6514.0,134.0,1039.0,127.0,54.0,16.0,3687.0,1271.0,249.0,12622.0,4.0,214.0,364.0,407.0,59.0,671.0,21.0,74.0,17.0,592.0,586.0,2.0,83.0,7317.0,7.0,3305,30.0,9.0,2175.0,73197.0
D4,146.0,2816,865.0,77.0,312.0,285.0,5263,1116.0,2561.0,54.0,2746.0,866.0,11921,351.0,178,16207.0,883.0,42.0,157.0,9145.0,689.0,947.0,193.0,83.0,76.0,39.0,48.0,1579.0,51.0,167.0,206.0,,8309.0,179.0,1764.0,236.0,112.0,46.0,5693.0,4462.0,165.0,16298.0,4.0,628.0,662.0,1077.0,123.0,1035.0,47.0,87.0,54.0,717.0,1387.0,65.0,105.0,13262.0,15.0,6312,107.0,66.0,5746.0,128832.0
D5,124.0,2217,622.0,183.0,299.0,180.0,3099,766.0,3231.0,50.0,1744.0,738.0,9525,224.0,204,13485.0,397.0,48.0,154.0,8464.0,541.0,1030.0,220.0,79.0,71.0,34.0,322.0,1086.0,64.0,169.0,329.0,3.0,9659.0,306.0,1539.0,164.0,95.0,49.0,5742.0,5098.0,82.0,14724.0,12.0,479.0,784.0,1196.0,100.0,840.0,43.0,29.0,68.0,712.0,1467.0,48.0,192.0,8617.0,6.0,4831,81.0,110.0,7469.0,114244.0
D6,62.0,624,282.0,15.0,114.0,144.0,1100,73.0,290.0,,357.0,177.0,7719,186.0,168,4336.0,146.0,,75.0,3105.0,248.0,,139.0,28.0,51.0,46.0,,366.0,12.0,,27.0,,34.0,108.0,417.0,59.0,,45.0,2942.0,1048.0,148.0,5946.0,15.0,308.0,331.0,332.0,97.0,232.0,30.0,,46.0,322.0,617.0,20.0,17.0,1838.0,,1506,41.0,51.0,1558.0,37998.0
D7,7.0,44,52.0,,7.0,48.0,354,4.0,,,15.0,5.0,2827,103.0,71,269.0,46.0,,10.0,510.0,17.0,,10.0,2.0,12.0,47.0,,19.0,,,,,2.0,,7.0,22.0,,14.0,270.0,,,46.0,17.0,46.0,36.0,2.0,21.0,31.0,2.0,,15.0,79.0,103.0,4.0,,142.0,1.0,117,6.0,5.0,2.0,5469.0
E1,4.0,230,29.0,,4.0,4.0,174,34.0,,1.0,26.0,8.0,481,,77,49.0,2.0,,1.0,344.0,9.0,,17.0,5.0,13.0,2.0,,3.0,,,,,17.0,,36.0,24.0,4.0,,738.0,,23.0,81.0,,7.0,53.0,4.0,1.0,72.0,,,,2.0,35.0,2.0,113.0,160.0,,380,,,,3269.0
E2,35.0,1058,95.0,51.0,103.0,25.0,636,184.0,207.0,19.0,304.0,55.0,4237,22.0,174,3608.0,83.0,9.0,19.0,3026.0,52.0,22.0,62.0,138.0,109.0,10.0,8.0,66.0,5.0,3.0,22.0,,1013.0,4.0,266.0,122.0,24.0,2.0,2739.0,237.0,77.0,3621.0,1.0,80.0,225.0,88.0,71.0,369.0,5.0,,2.0,52.0,549.0,12.0,164.0,2058.0,27.0,1185,38.0,1.0,337.0,27816.0
E3,83.0,2158,202.0,53.0,357.0,79.0,1744,376.0,783.0,178.0,1277.0,142.0,7270,96.0,225,11283.0,344.0,42.0,90.0,7255.0,164.0,430.0,118.0,222.0,116.0,14.0,45.0,398.0,14.0,89.0,163.0,4.0,6972.0,28.0,765.0,191.0,34.0,23.0,5737.0,1072.0,460.0,10713.0,2.0,295.0,316.0,251.0,163.0,787.0,54.0,21.0,19.0,252.0,975.0,31.0,154.0,6406.0,26.0,3229,68.0,7.0,2101.0,76966.0
E4,117.0,3640,321.0,112.0,453.0,235.0,4942,850.0,2360.0,143.0,2113.0,333.0,12115,93.0,290,15919.0,856.0,36.0,189.0,11375.0,534.0,586.0,143.0,263.0,154.0,58.0,62.0,787.0,26.0,127.0,259.0,15.0,8373.0,14.0,1280.0,290.0,83.0,60.0,7120.0,3113.0,439.0,13183.0,,540.0,701.0,549.0,269.0,1039.0,45.0,31.0,35.0,293.0,1737.0,137.0,298.0,10745.0,82.0,5213,102.0,18.0,4311.0,119606.0
E5,97.0,2410,271.0,220.0,428.0,142.0,2698,501.0,2711.0,142.0,1194.0,190.0,10719,55.0,233,11655.0,216.0,30.0,210.0,8668.0,477.0,554.0,133.0,233.0,166.0,43.0,262.0,612.0,34.0,154.0,444.0,7.0,7321.0,36.0,895.0,254.0,31.0,45.0,6440.0,3895.0,292.0,11441.0,7.0,393.0,517.0,689.0,303.0,650.0,49.0,5.0,44.0,228.0,1627.0,85.0,230.0,6163.0,11.0,3481,90.0,27.0,5759.0,96917.0
E6,34.0,670,117.0,30.0,104.0,142.0,1053,75.0,47.0,3.0,189.0,16.0,7656,89.0,163,3246.0,104.0,,57.0,2698.0,169.0,,54.0,84.0,88.0,50.0,,183.0,4.0,,11.0,,38.0,,217.0,68.0,,54.0,3384.0,494.0,45.0,4036.0,4.0,246.0,214.0,114.0,184.0,149.0,34.0,,36.0,174.0,790.0,18.0,196.0,1318.0,6.0,1066,28.0,6.0,380.0,30435.0
F#1,7.0,553,7.0,20.0,8.0,2.0,471,250.0,1.0,1.0,68.0,3.0,1700,46.0,28,728.0,4.0,5.0,7.0,815.0,12.0,1.0,11.0,6.0,15.0,6.0,,8.0,2.0,,,,12.0,,9.0,32.0,,5.0,458.0,24.0,3.0,603.0,1.0,21.0,74.0,8.0,,62.0,,,2.0,15.0,48.0,,68.0,618.0,,370,,,21.0,7239.0
F#2,35.0,1879,44.0,65.0,52.0,36.0,1134,618.0,182.0,28.0,329.0,18.0,3942,82.0,71,3520.0,78.0,68.0,11.0,4325.0,112.0,23.0,41.0,35.0,21.0,19.0,,101.0,15.0,1.0,3.0,,1014.0,4.0,123.0,62.0,4.0,25.0,1762.0,153.0,162.0,3768.0,3.0,105.0,247.0,92.0,14.0,272.0,2.0,1.0,4.0,167.0,158.0,8.0,98.0,2867.0,4.0,1396,2.0,8.0,236.0,29649.0
F#3,93.0,3045,213.0,76.0,206.0,205.0,3020,841.0,638.0,163.0,983.0,108.0,8718,146.0,148,9152.0,387.0,68.0,47.0,9325.0,382.0,224.0,114.0,116.0,52.0,105.0,3.0,398.0,30.0,68.0,16.0,,5535.0,,380.0,72.0,15.0,89.0,3591.0,768.0,438.0,8238.0,37.0,734.0,226.0,398.0,24.0,680.0,6.0,17.0,16.0,332.0,701.0,28.0,282.0,6384.0,12.0,3800,8.0,35.0,1282.0,73218.0
F#4,140.0,4413,283.0,183.0,367.0,267.0,6437,1384.0,1625.0,97.0,1124.0,321.0,11942,252.0,181,11584.0,584.0,90.0,97.0,11270.0,762.0,245.0,168.0,128.0,67.0,141.0,12.0,789.0,84.0,97.0,37.0,,6351.0,4.0,524.0,125.0,88.0,120.0,3980.0,1808.0,347.0,9137.0,71.0,1193.0,1123.0,453.0,13.0,844.0,18.0,24.0,27.0,359.0,1041.0,88.0,276.0,9071.0,25.0,5157,36.0,37.0,2580.0,100091.0
